 File 	 檔案 
The rat's gigantic fangs look incredibly sharp, as if they could rip through unprotected flesh like a hot knife through butter.  His mouth waters and his lips quiver in anticipation of the meal he may make of you.	大老鼠碩大的獠牙看起來鋒利無比，彷彿能像熱刀切奶油一樣，輕易撕裂沒有防護的血肉。牠垂涎三尺，嘴唇興奮地顫抖著，期待著把你當成一頓大餐。
The rat's sharp, pointed claws look as deadly as his teeth!	大老鼠尖銳的爪子，看起來和牠的牙齒一樣致命！
The rat is now dripping wet.  Although he doesn't seem to mind the dampness, you haven't gotten any closer to your goal.	大老鼠現在渾身濕透。雖然牠似乎不介意這股潮濕，但你距離目標並沒有更接近。
RAT: "Cheese?  Well, yeah, now that you mention it, I guess I am kinda hungry...."	大老鼠：「乳酪？嗯，這麼一說，我好像是有點餓了……」
RAT: "Some sort of treasure?  Now you're talkin', mister.  Lemme see some of that treasure."	大老鼠：「什麼寶物？這才像話嘛，老兄。讓我瞧瞧那些寶物。」
Using his sense of smell as a guide, the rat quickly snatches it from your hand.  You might want to count your fingers.	大老鼠靠著嗅覺，迅速從你手中把東西搶走。你也許該數數自己的手指還在不在。
The rat uses his strong sense of smell as a guide and takes the treasure from your hand.	大老鼠靠著靈敏的嗅覺，從你手中拿走了那件寶物。
The rat drools at the sight of the cheese, and snatches it from your hand.  You might want to count your fingers.	大老鼠一看到乳酪就流口水，一把從你手中搶走。你也許該數數自己的手指還在不在。
The rat takes the treasure from your hand.	大老鼠從你手中拿走了那件寶物。
Using his sense of smell to guide him, the rat attacks you. In the scuffle, your ring falls off, making you visible again.	大老鼠靠著嗅覺攻擊你。一陣拉扯之間，你的戒指脫落，你再次現形。
The leprechauns' magical powers detect your unseen presence.	地穴人的魔法察覺到你隱形的存在。
This is one tight squeeze the mushroom will not get you out of.	這回的窘境，蘑菇可救不了你。
There are no leprechauns here.	這裡沒有地穴人。
They are tiny people dressed all in green.	他們是一群身形嬌小、渾身穿著綠衣的人。
This door separates the rat's warren from the domain of the Leprechaun King.	這扇門將大老鼠的巢穴與地穴人國王的領地隔開。
You are in the antechamber of the Hall of the Leprechaun King.	你站在地穴人國王大殿的前廳。
There are leprechauns in the room with you.	房間裡還有其他地穴人陪著你。
Leave the door open.  Perhaps a draft will clear out some of the musty old rat smell.	讓門開著吧。也許有風吹進來，能把那股老鼠的霉味散一散。
Unfortunately, you don't speak the language of the little folk.	可惜你不會說這些嬌小族人的語言。
Don't even try it.  They're more agile than you are, and they outnumber you.	想都別想。他們比你敏捷得多，而且人數也比你多。
The Leprechaun King absolutely, positively forbids violence or weapons of any sort in his throne room.  With thoughts of the sling in your mind, you seem unable to turn those thoughts into movement.	地穴人國王絕對、明確禁止在他的王座廳內使用暴力或任何武器。儘管你心裡想著投石器，卻怎麼也無法把念頭化為行動。
The Leprechaun King's magic does not permit you to use weapons in the Throne Room.  Thus, while the sling is still in your pocket, you seem entirely unable to put it in your hand.	地穴人國王的魔法不允許你在王座廳內使用武器。因此，儘管投石器還放在你的口袋裡，你卻完全無法把它拿在手上。
Oh, no!  Now what are you going to do?	糟了！現在你該怎麼辦？
This looks like a bad situation.  Perhaps you should do something!	情況看起來不妙。也許你該做點什麼！
With a genuine four-leaf clover in your possession, the leprechauns fear and respect you.  Rather than risk offending you, they decide to leave you entirely alone.	你身上帶著一株真正的幸運草，地穴人們對你既畏懼又敬重。他們寧可完全不理你，也不願冒險冒犯你。
The guards catch you.  You spend the rest of your days peeling potatoes for the King of the Leprechauns.	衛兵抓住了你。你餘生都在替地穴人國王削馬鈴薯度過。
You can't play the fiddle while you're invisible.	你隱形的時候沒辦法演奏小提琴。
Wonderful job!  Leprechauns find fiddle music irresistible.  The moment they hear the music, they begin dancing a frenzied jig.	做得好極了！地穴人對小提琴的樂聲毫無抵抗力。他們一聽見音樂，立刻跳起狂熱的吉格舞。
Finally, swept away by the snappy music, the Leprechaun guards poof right out of the room.	最後，衛兵們被輕快的音樂沖昏了頭，一陣煙就從房間裡消失不見。
Carved into the top of this stone pillar is a huge four-leaf clover. Apparently the leprechauns who inhabit this underground sanctuary greatly fear and respect the power of the four-leaf clover!	這根石柱頂端雕刻著一株巨大的幸運草。看來居住在這處地底聖殿的地穴人，對幸運草的力量既畏懼又敬重！
Please don't move the carpet.  It hides the Dandelion Wine stains on the floor.	請不要移動這張地毯。它遮住了地上蒲公英酒的污漬。
What!?  And sit on the jewelled sceptre?!?	什麼！？坐在那根鑲滿珠寶的王杖上？！
You don't have time for that, Sir Graham.	格拉漢爵士，你沒時間做那件事。
Eating the mushroom can get you out of a tight spot, but not at the moment.	吃下蘑菇能讓你脫離險境，但現在還不是時候。
This luxurious carpet is the product of the Leprechaun's magical weaving talents.	這張華麗的地毯，是地穴人神奇織藝的產物。
The King of the Leprechauns is sitting on his stone throne, sceptre in hand.	地穴人國王坐在他的石座上，手裡握著王杖。
This is a rather simple stone throne, upon it sits the leprechaun kings jewelled sceptre.	這是一座相當樸素的石座，上面放著地穴人國王那根鑲滿珠寶的王杖。
This is a rather simple stone throne, compared to King Edward's.	比起愛德華國王的王座，這座石座顯得相當樸素。
There is no sceptre here.	這裡沒有王杖。
The sceptre is fashioned from gold and silver, and accented with emeralds.	這根王杖以金銀打造，並鑲嵌著翡翠點綴。
You can see a sceptre from where you are standing	從你站的位置可以看見一根王杖。
The shield is made of titanium and is rimmed with jewels.	靈盾以鈦金屬打造，邊緣鑲著珠寶。
You can see a shield from where you are standing.	從你站的位置可以看見靈盾。
This is the throne room of the Leprechaun King.	這裡是地穴人國王的王座廳。
The king has a sceptre.	國王手裡有一根王杖。
The king has a sceptre and there is a shield near the throne.	國王手裡有一根王杖，王座附近還有一面靈盾。
There is a sceptre on the throne.	王座上放著一根王杖。
There is a sceptre and shield near the throne.	王座附近有一根王杖和一面靈盾。
There is a shield near the throne.	王座附近有一面靈盾。
The leprechaun King is not here.	地穴人國王不在這裡。
By playing your fiddle,  the leprechaun King dances merrily away.	你演奏起小提琴，地穴人國王便歡快地跳著舞離開了。
The King of the Leprechauns is sitting on his throne.	地穴人國王坐在他的王座上。
Unfortunately, you do not speak the language of the little folk.	可惜你不會說這些嬌小族人的語言。
There are no Leprechauns here to talk to.	這裡沒有地穴人可以交談。
The Leprechaun King is not here.	地穴人國王不在這裡。
The Leprechaun King, not understanding your words, ignores you.	地穴人國王聽不懂你的話，沒理你。
You take the magic shield.  Congratulations!	你拿到了靈盾。恭喜！
The Leprechaun King took his sceptre with him.	地穴人國王把他的王杖也一起帶走了。
You take the Leprechaun King's jewelled sceptre.	你拿到了地穴人國王鑲滿珠寶的王杖。
The Leprechaun King is just too cute to hurt.	地穴人國王實在太可愛了，你下不了手傷害他。
Overhearing the fiddle music you played in the hallway, the Leprechauns have begun to dance!  As they do, they pop away in a fit of merrymaking.	聽見你在走廊上演奏的小提琴聲，地穴人們跳起舞來！跳著跳著，他們在一陣狂歡中一個個消失無蹤。
The Leprechauns, sensing the power of your four-leaf clover, begin to vanish.	地穴人們感受到你手中幸運草的力量，開始漸漸消失。
The King of the Leprechauns is dancing away!  Even the King enjoys a good party.	地穴人國王也跳著舞離開了！看來就連國王也喜歡熱鬧的派對。
The small hole leads to the outside world.	這個小洞通往外面的世界。
This is a small cave with a path on one side and a very small hole on the other side.	這是一個小洞穴，一側有小徑，另一側有個非常小的洞。
The path is very steep and narrow.	這條小徑又陡又窄。
Go ahead.  Walk right in.	儘管走吧，直接走進去就行了。
You are much too big to fit through that small hole.	你的身形太大了，鑽不過那個小洞。
If there was something of value in there, the woodcutter and his wife would not be starving to death.	要是裡頭有什麼值錢的東西，樵夫夫妻倆就不會快餓死了。
The woodcutter is mildly impressed with your appearance, but he is too concerned with the plight of his poor wife to make idle chatter.	樵夫對你的到來略感訝異，但他滿心掛念著可憐妻子的處境，沒心思閒聊。
The woodcutter is surprised by your sudden appearance, but quickly he recognizes you.	樵夫被你的突然出現嚇了一跳，但很快就認出你來。
You have already helped the woodcutter and his wife as much as you are able.	你已經盡你所能幫助過這對樵夫夫妻了。
That would be a very nice gesture.  But how do you intend to do that?	這確實是個很好的心意，但你打算怎麼做呢？
The woodcutter is feeding his wife the hearty stew.  Thanks to your generosity, the woodcutter's wife will make a full recovery.  They are both very happy...and very grateful to you.	樵夫正餵妻子喝那碗豐盛的燉肉。多虧你的慷慨，樵夫的妻子將會完全康復。他們倆都非常高興……也非常感激你。
The woodcutter has fed his wife the hearty stew.  Thanks to your generosity, the woodcutter's wife will make a full recovery.  They are both very happy...and very grateful to you.	樵夫已經餵妻子喝下那碗豐盛的燉肉。多虧你的慷慨，樵夫的妻子將會完全康復。他們倆都非常高興……也非常感激你。
A woman is laying in bed, pale and still.  Her husband is seated on the bed, holding her hand.	一名女子躺在床上，臉色蒼白、一動也不動。她的丈夫坐在床邊，握著她的手。
This house looks as shabby and tumbledown inside as it does outside, but it's surprisingly neat and tidy.  The sagging bed fills most of the room, and a fire burns cheerfully in the old stone fireplace. A large wooden table and a smaller nightstand are nearby; above the nightstand is a small cabinet.	這間屋子裡外一樣破舊搖晃，卻出乎意料地整潔乾淨。一張下陷的床幾乎佔滿了整個房間，古老的石造壁爐裡爐火歡快地燃燒著。附近還有一張大木桌與一個較小的床頭櫃，床頭櫃上方有個小櫥櫃。
An earthenware pitcher sits on the nightstand.	床頭櫃上放著一個陶製水壺。
The old nightstand is nothing more than a small table at the foot of the bed.	這個老舊的床頭櫃，不過是床尾的一張小桌子罷了。
There are no drawers in this nightstand.	這個床頭櫃沒有抽屜。
The nightstand won't be of any help to you on your quest.	這個床頭櫃對你的冒險沒有任何幫助。
The woodcutter and his wife have gone to great pains to make their shabby home as neat and clean as possible.	樵夫夫妻倆費盡心思，把這個簡陋的家打理得盡量整潔乾淨。
What are you going to do, dive onto the bed?  Not with the woodcutter's wife in bed, you're not!	你打算怎麼做，撲到床上去嗎？樵夫的妻子還躺在床上呢，你不能這麼做！
The bed is already occupied. Neither the woodcutter nor his wife would look kindly upon your intrusion on their personal space.	床上已經有人了。不論是樵夫還是他的妻子，都不會樂見你闖入他們的私人空間。
You should not steal from these poor people, Sir Graham!	格拉漢爵士，你不該偷這些窮苦人家的東西！
The woodcutter offered you his fiddle, which is all he can spare.  It would be unknightly to take anything else from these poor people.	樵夫已經把他僅有的小提琴送給你了，那是他能拿得出的一切。再從這對窮苦夫妻身上拿走別的東西，有失騎士風範。
The woodcutter's wife is too polite to speak with her mouth full!	樵夫的妻子嘴裡還有東西，太有禮貌了，不會邊吃邊說話！
The woodcutter's wife is too fatigued to speak, but you can see in her eyes that she's very grateful...and happier than she's been in a long time.	樵夫的妻子疲憊得說不出話，但你能從她的眼神中看出，她心懷感激……也是好久以來最開心的時候。
The woodcutter's poor wife appears to be near death.	樵夫可憐的妻子看起來已瀕臨死亡。
The woodcutter is startled by the voice that appears to come from nowhere, but quickly returns to tending his wife.	樵夫被這彷彿憑空傳來的聲音嚇了一跳，但很快又回頭去照顧妻子。
WOODCUTTER:  "Please, Sir Knight, take my fiddle as a small token of thanks."	樵夫：「騎士大人，請收下我的小提琴，聊表一點謝意。」
WOODCUTTER:  "Thank you, Sir Knight!"	樵夫：「謝謝你，騎士大人！」
The woodcutter, still holding his wife's hand and gazing at her pale face, does not seem to hear you.	樵夫仍握著妻子的手，凝視著她蒼白的臉，似乎沒聽見你說話。
It doesn't respond, but that shouldn't be surprising.	它沒有任何反應，不過這也不奇怪。
with whom do you wish to talk, Sir Graham?	格拉漢爵士，你想跟誰說話呢？
The poor woman is too weak to even notice.	這可憐的女子虛弱得連察覺都做不到。
What stew?  There is no stew in your bowl.	什麼燉肉？你的碗裡根本沒有燉肉。
Move a little closer, Sir Graham.	格拉漢爵士，再靠近一點。
You don't have the stew.  You were kind enough to give it away for the woodcutter wife's speedy recover.	你身上沒有燉肉了。你早已心懷善意，把它送出去讓樵夫的妻子早日康復。
It would be terribly cruel to eat in front of these poor, starving people.  Your conscience prevents you from being so inconsiderate.	在這對可憐挨餓的夫妻面前吃東西，實在太殘忍了。你的良心不允許你這麼冷酷無情。
You don't have one of those to give.	你身上沒有那樣東西可以給。
You have already given the woodcutter a bowl filled with stew.  To help him now, you must hurry and complete your mission.	你已經給過樵夫一碗盛滿燉肉的碗了。要繼續幫助他，你得趕緊完成你的任務。
The woodcutter has already given the fiddle to you. It would be rude to return it.	樵夫已經把小提琴送給你了，把它退回去會很失禮。
The woodcutter gratefully accepts the walnut, but is too weak to open it.	樵夫感激地收下了胡桃，但虛弱得打不開它。
The woodcutter has little use for that.	那東西對樵夫沒什麼用處。
You wouldn't want to hurt them.	你不會想傷害他們的。
The woodcutter's wife is in the bed, sitting up and and eating hearty stew by the spoonful.	樵夫的妻子坐在床上，正一匙一匙地吃著豐盛的燉肉。
The woodcutter's wife is getting a bit of color back in her cheeks.  With your help, she'll be making a full recovery.	樵夫的妻子臉頰漸漸恢復了些血色。有你的幫助，她將會完全康復。
The woodcutter's wife lies in bed.  Years of struggle and poverty have taken their toll on her; she looks much older than she really is.	樵夫的妻子躺在床上。多年的艱苦與貧困在她身上留下了痕跡，讓她看起來比實際年齡蒼老許多。
The woodcutter sits on the edge of the bed, next to his wife.  Ever since the woods became too dangerous to venture into, he has not been able to earn a decent living.	樵夫坐在床邊，陪著妻子。自從森林變得太危險、無法進入之後，他就再也無法靠正當方式謀生。
The woodcutter has the magic bowl you've given him; at the moment, it's filled with hot, savory stew.	樵夫拿著你送給他的魔法碗；此刻碗裡盛滿了熱騰騰、香氣四溢的燉肉。
The woodcutter's most treasured possession, a fine old fiddle, lies on the table.	桌上放著樵夫最珍視的寶貝——一把精美的老舊小提琴。
A large fire burns merrily in the fireplace, providing some warmth in the drafty old cottage.	壁爐裡熊熊燃燒著旺盛的爐火，為這間四處透風的老舊小屋帶來些許暖意。
An old earthenware pitcher sits on the table.	桌上放著一個老舊的陶製水壺。
It's empty.	它是空的。
A cracked old bowl sits beside the pitcher on the table.	桌上水壺旁放著一個裂了縫的舊碗。
The woodcutter speaks with joy in his voice.	樵夫的話語中透著喜悅。
WOODCUTTER:  "Sir Knight, bless you!  Even now, my wife is recovering due to your kindness."	樵夫：「騎士大人，願上天保佑你！多虧了你的善心，我妻子現在正在康復。」
The woodcutter speaks, his voice broken with sorrow.	樵夫開口說話，聲音因悲傷而顫抖。
WOODCUTTER:  "Oh, Sir Knight, you have returned.  But I fear that my wife grows weaker still for lack of food.	樵夫：「喔，騎士大人，你回來了。但我恐怕，我妻子因為缺乏食物，正變得更加虛弱。
The woodcutter speaks to you, his voice broken with sorrow.	樵夫對你說話，聲音因悲傷而顫抖。
WOODCUTTER:  "We would welcome you to our home, Sir Knight, but we have had no food for so long, my beautiful wife cannot even rise from her bed.  I fear she may die soon."	樵夫：「我們很樂意歡迎你來到我們家，騎士大人，但我們已經斷糧太久了，我美麗的妻子連下床都做不到。我怕她恐怕就快要不行了。」
WOODCUTTER:  "Sir Knight, an empty bowl will not help us now."	樵夫：「騎士大人，一個空碗現在幫不了我們什麼。」
The woodcutter is overwhelmed with joy.	樵夫喜極而泣。
WOODCUTTER:  "Thank you, thank you, Sir Knight!  We shall never forget your kindness and generosity."	樵夫：「謝謝你，謝謝你，騎士大人！我們永遠不會忘記你的善心與慷慨。」
WOODCUTTER:  "Please, take my fiddle as a small token of our thanks."	樵夫：「請收下我的小提琴，聊表我們的一點謝意。」
The woodcutter gratefully accepts the treasure.	樵夫感激地收下了這件寶物。
The woodcutter accepts your meager gift of food.	樵夫收下了你送來的微薄食物。
WOODCUTTER:  "Thank you, Sir Knight, but I fear that only a gift of food will save my poor wife from starvation."	樵夫：「謝謝你，騎士大人，但我恐怕只有食物才能救我可憐的妻子免於餓死。」
WOODCUTTER:  "Thank you, Sir Knight.  This will help... for a while."	樵夫：「謝謝你，騎士大人。這能撐一陣子……。」
There is a sturdy old plank table here.  The food it once held is long gone, but there appears to be a fiddle on the table.	這裡有一張堅固的老木板桌。桌上曾經擺放的食物早已不見蹤影，但桌上似乎放著一把小提琴。
There is a sturdy old plank table here.  The food it once held is long gone.	這裡有一張堅固的老木板桌。桌上曾經擺放的食物早已不見蹤影。
The woodcutter and his wife are on the bed.	樵夫和他的妻子都在床上。
You can't do that while you're invisible, Sir Graham.	格拉漢爵士，你隱形的時候沒辦法做這件事。
You see the goat far, far below you, wandering off to explore Daventry on his own.	你看見山羊在你腳下老遠的地方，獨自漫遊，探索著戴凡確王國。
Shall we really begin the adventure from the very beginning?	你真的要從頭開始這場冒險嗎？
Dost thou truly wish to cease our adventuring?	汝當真欲就此終止吾等之冒險乎？
Use the arrow keys then enter or mouse to select option.	使用方向鍵後按 Enter，或用滑鼠選取選項。
Introduction	簡介
Begin Game	開始遊戲
Credits	製作名單
Continue Game	繼續遊戲
OUCH!	哎呦！
As the wicked witch flew over her cottage, she dropped you straight through the roof and into her cage.  Who knows what sinister plans she has in store for you?	邪惡的巫婆飛過她的小屋上空時，把你直接從屋頂扔了下去，落進她的籠子裡。天曉得她心裡正打著什麼陰險的算盤等著你？
You are Sir Graham, the bravest and most honorable knight in the troubled realm of Daventry.	你是格拉漢爵士，這個多災多難的戴凡確王國中，最勇敢、最光榮的騎士。
King Edward the Benevolent, aged ruler of Daventry, has summoned you to the castle for reasons unknown.	仁慈的愛德華國王，戴凡確王國年邁的統治者，召你前往城堡，理由不明。
CASTLE GUARD: "Greetings, Sir Graham. The King is expecting you. Allow me to escort you to His Majesty's throne room."	城堡衛兵：「你好，格拉漢爵士。國王正等著你。請容我護送你前往陛下的王座廳。」
SIR GRAHAM: "Thank you, Sir Knight."	格拉漢爵士：「謝謝你，騎士大人。」
CASTLE GUARD: "Raise the portcullis!"	城堡衛兵：「升起閘門！」
SIR GRAHAM: "I am at your service, my King."	格拉漢爵士：「臣聽候陛下差遣。」
KING EDWARD: "I am an old man, Sir Graham.  Perhaps too old to carry the weight of this crown."	愛德華國王：「格拉漢爵士，朕已年邁，或許已老得扛不動這頂王冠的重量了。」
KING EDWARD: "My bones ache, my hands tremble.  I'm afraid my time on Earth grows short."	愛德華國王：「朕骨頭作痛，雙手顫抖。恐怕在世的時日已經不多了。」
KING EDWARD: "But enough about me."	愛德華國王：「不過，朕的事就先說到這裡。」
KING EDWARD: "Great misfortunes have befallen Daventry since the loss, years ago, of three magical treasures."	愛德華國王：「多年前，三件魔法寶物遺失以來，戴凡確王國便屢遭大難。」
KING EDWARD: "I have chosen you, the finest knight in all of Daventry, to search for these lost treasures."	愛德華國王：「朕選中了你——戴凡確王國最出色的騎士——去尋回這些失落的寶物。」
KING EDWARD: "Only then can this kingdom be restored to its former glory."	愛德華國王：「唯有如此，這個王國才能恢復昔日的榮光。」
KING EDWARD: "And only then may I rest with the knowledge that my people are safe."	愛德華國王：「也唯有如此，朕才能安心，知道子民都平安無事。」
KING EDWARD: "The first treasure is a magic mirror that foretells the future."	愛德華國王：「第一件寶物，是一面能預知未來的魔鏡。」
KING EDWARD: "The second is a magical shield that protects the bearer from all mortal harm."	愛德華國王：「第二件，是一面能護持配戴者免受一切致命傷害的靈盾。」
KING EDWARD: "The third and last is an enchanted chest that is forever filled with gold."	愛德華國王：「第三件，也是最後一件，是一個永遠裝滿黃金的魔法金盒子。」
KING EDWARD: "I know that what I ask is difficult ...nay, perhaps impossible.  The dangers are many."	愛德華國王：「朕明白這個請求十分艱難……不，或許根本是不可能的任務。危險重重。」
KING EDWARD: "But you are brave and pure of heart.  That is why I chose you to volunteer."	愛德華國王：「但你勇敢、心地純正。這正是朕選你來挑起這個重擔的原因。」
KING EDWARD: "If you succeed, you will inherit my crown, and will rule the Realm of Daventry as her rightful King."	愛德華國王：「若你成功，你將繼承朕的王冠，成為戴凡確王國名正言順的國王。」
KING EDWARD: "Go, Sir Graham, and know that the fate of Daventry lies in your hands."	愛德華國王：「去吧，格拉漢爵士，謹記戴凡確王國的命運，如今就掌握在你手中。」
SIR GRAHAM: "Take heart, my King.  I shall not fail you."	格拉漢爵士：「請放寬心，陛下。臣不會辜負您的期望。」
As you move further away from the goat, he forgets about your carrot and begins to wander off on his own.	你離山羊越走越遠，牠便忘了你手上的胡蘿蔔，開始自顧自地遊蕩起來。
The goat decides it would be easier to stop following you than to get his fur wet.	山羊覺得與其弄濕自己的毛，還不如乾脆不再跟著你。
The goat does not mind getting its feet wet, but will not swim in the water.  You should go back and lead the goat around the water.	山羊不介意弄濕腳，但牠不會游泳。你該回頭，帶著山羊繞過那片水域。
Seeing you swim away, the goat decides you've abandoned him and wanders off on his own.	山羊看見你游走了，以為自己被拋下，便自顧自地遊蕩起來。
The goat is wandering nearby.	山羊正在附近閒晃。
You don't have all you need in order to try something like that.	你身上還沒湊齊嘗試這件事所需要的東西。
You blew your chance with the goat.	你錯失了對付山羊的機會。
You don't have anything suitable for bringing a quick end to the goat.	你身上沒有適合快速解決那隻山羊的東西。
Since you've killed him, the goat just doesn't seem to display the same interest in the carrot.	既然你已經殺了牠，這隻山羊自然對胡蘿蔔提不起同樣的興趣了。
The goat is content to graze for now.	山羊此刻正安心地吃著草。
The goat cannot see you or the carrot.	山羊看不見你，也看不見胡蘿蔔。
The goat seems to be looking for his own food right now.	山羊此刻似乎正在自己找東西吃。
You don't have a carrot.	你身上沒有胡蘿蔔。
Goats love carrots!  The goat quickly devours yours and stops following you.	山羊最愛胡蘿蔔了！牠三兩下就把你的胡蘿蔔吃光，然後就不再跟著你了。
The goat is already following you! There's no reason to tease him mercilessly.	山羊已經在跟著你了！沒必要這樣無情地捉弄牠。
The goat isn't interested in you anymore.	山羊已經對你沒興趣了。
You viciously plunge the dagger deep into the poor goat's back.  He struggles in pain, bleating frantically, and finally slumps to the ground.	你狠心地將短刀深深刺入可憐山羊的背部。牠痛苦地掙扎，瘋狂地咩叫，最終癱倒在地。
Goats love carrots!  The goat quickly devours yours and wanders away.	山羊最愛胡蘿蔔了！牠三兩下就把你的胡蘿蔔吃光，然後便自顧自地離開了。
Unfortunately, drowning in the river is taking up all of your attention.	不幸的是，你正忙著在河裡溺水，沒空分神顧及其他事。
There is a green meadow on the other side of the river.	河的另一岸是一片綠色草地。
The stream appears placid enough, but appearances can be deceiving.	這條溪流看似平靜無波，但外表可能會騙人。
This natural rock bridge connects the Daventry mainland to a small island.	這座天然石橋將戴凡確王國的本土與一座小島連接起來。
This is an old, rickety bridge which seems to be one of the only ways cross the river.	這是一座老舊搖晃的橋，似乎是過河為數不多的方法之一。
How do you use the dagger?	你要怎麼使用短刀？
You don't have the dagger.	你身上沒有短刀。
The troll is bigger than you, stronger than you, and much, MUCH meaner than you.  Better not even try it.	矮精靈比你高大、比你強壯，而且比你兇惡得多，兇惡「非常非常」多。你最好想都別想。
You throw the dagger and it lands in the river, lost for all time.	你把短刀丟出去，短刀落入河中，永遠消失了。
There is no need for that now.	現在沒有必要那麼做。
diamond pouch	鑽石皮袋
gold egg	金蛋
sceptre	王杖
treasure chest	金盒子
gold walnut	金胡桃
Gold Walnut	金胡桃
The troll isn't interested in a plain walnut.	矮精靈對普通的胡桃沒有興趣。
Walnut	胡桃
Why?  To what?	為什麼？要做什麼？
Your skimpy offering doesn't impress the troll.	你這寒酸的供品打動不了矮精靈。
You push the troll as hard as you can.  Unfortunately, the troll doesn't budge an inch.	你使出全力推矮精靈，可惜矮精靈紋風不動。
You certainly cannot do that from here.	你在這裡當然沒辦法這麼做。
The troll turns a very large and pointy deaf ear on your pleas.	矮精靈那對又大又尖的耳朵，對你的懇求充耳不聞。
The troll cannot hear you from there.	矮精靈在那裡聽不見你說話。
TROLL: "Dat's right.  Gimme somethin' valuable and maybe, JUST maybe, I'll letcha cross dis bridge.  If I feel like it.  Which I ain't sure I do."	矮精靈：「沒錯，給我點值錢的東西，也許，『也許』我就讓你過我這座橋。如果我心情好的話。不過我可不確定自己心情好不好。」
You should save your pebbles.  You may need them later.	你該省著點用鵝卵石，之後可能用得到。
You throw a pebble at the troll, but it merely bounces off his thick hide.  He barely notices it.	你朝矮精靈丟了一顆鵝卵石，卻只在他厚厚的皮膚上彈開，他幾乎沒察覺。
You throw the dagger and the troll deftly snatches it out of the air.  What are you going to do now?	你把短刀丟出去，矮精靈靈巧地在半空中把它接住。你現在打算怎麼辦？
You throw the dagger wildly and it sails away, never to be found.	你胡亂把短刀丟出去，短刀飛遠了，再也找不回來。
dagger	短刀
There is no one here to throw the dagger at.	這裡沒有人可以讓你丟短刀。
You do not have the %s.	你身上沒有 %s。
You give the %s to the troll, and it appears to satisfy him.  He tromps off leaving the bridge clear for you to cross.	你把 %s 給了矮精靈，他似乎相當滿意，隨即跺著腳離開，讓出橋來給你通過。
If you want to try that, you should get a little closer.	如果你想試試看，應該再靠近一點。
It's too late now!	現在已經太遲了！
It's too shallow here.	這裡水太淺了。
You need to be in the water to swim.	你得先進到水裡才能游泳。
You need to be in the water to try that.	你得先進到水裡才能嘗試那件事。
The water is not deep enough here for you to dive.	這裡的水不夠深，沒辦法讓你跳水。
The water isn't very deep here.  Diving wouldn't be recommended.	這裡的水不太深，不建議跳水。
The water is very deep here.  Without aid, it is impossible to swim under the water for any length of time.	這裡的水非常深。沒有輔助工具，不可能在水下游太久。
You have nothing to carry the water in.	你身上沒有可以裝水的東西。
Walking in the water seems to have made you visible once again.	走進水裡似乎讓你再次現形了。
This is a well-tended carrot patch.  The carrots look tempting to a hungry traveler.	這是一片照料得很好的胡蘿蔔田，對飢餓的旅人來說，這些胡蘿蔔看起來十分誘人。
A brick border surrounds a well-kept garden.	一圈磚砌的邊界圍繞著一座整理得很好的花園。
You see a brick border surrounding a well-kept garden.	你看見一圈磚砌的邊界，圍繞著一座整理得很好的花園。
There are many large, plump carrots in the garden.	花園裡有許多又大又飽滿的胡蘿蔔。
The carrots are buried in the ground. You must get closer to see them.	胡蘿蔔埋在地裡，你得靠近一點才能看清楚。
You already have a carrot.	你已經有一根胡蘿蔔了。
You're too busy to pick a carrot.	你現在正忙著，沒空摘胡蘿蔔。
You can't pick a carrot while you're invisible.	你隱形的時候沒辦法摘胡蘿蔔。
You must be in the carrot patch to pick a carrot.	你得站在胡蘿蔔田裡才能摘胡蘿蔔。
You pluck a plump, orange carrot from the ground.	你從地裡拔起一根飽滿的橘色胡蘿蔔。
You are standing outside King Edward's castle, which is surrounded by a serpent-filled moat.	你站在愛德華國王的城堡外，城堡四周圍繞著一條滿是巨蛇的護城河。
King Edward the Benevolent, the mighty ruler of Daventry, lives in this castle.	仁慈的愛德華國王，戴凡確王國強大的統治者，就住在這座城堡裡。
You never know what sort of fierce sea creatures lie just beneath the surface of the moat.	你永遠不知道護城河水面下潛伏著什麼樣兇猛的水中生物。
It's your typical moat water: murky and smelly.	這是典型的護城河水：混濁又發臭。
Tendrils of ivy cling to the massive walls of the castle.	藤蔓的卷鬚攀附在城堡厚重的牆上。
It's the king's ivy.  Leave it alone.	那是國王的常春藤，別去碰它。
What!  Are you crazy?	什麼！你瘋了嗎？
But they help to guard the castle! You should let these creatures do their job in peace.	但牠們是在幫忙守衛城堡！你該讓這些生物安心做牠們的工作。
You'd end up inside the serpent.  And what would happen to Daventry then?	你最後會被巨蛇吞進肚子裡。到時戴凡確王國會變成什麼樣子？
Who knows what danger lurks beneath the surface of the murky water.	誰知道混濁的水面下潛伏著什麼樣的危險。
The odor of the murky water is almost unbearable.	這混濁河水的臭味幾乎讓人難以忍受。
You wouldn't want to dive in the serpent-filled moat.	你不會想跳進滿是巨蛇的護城河裡。
The guards do not appreciate people climbing their castle.	衛兵們不喜歡有人爬他們的城堡。
Go ahead.  But it's not recommended.	去吧，不過不建議這麼做。
You'll want to leave those horrible creatures alone.	你最好別去招惹那些可怕的生物。
These serpents would rather eat you than to talk to you.	這些巨蛇寧可吃了你，也不想跟你說話。
You already have water.	你已經有水了。
You don't have a bucket.	你身上沒有水桶。
